Cluster size,total energy,temperature,potential energy,kinetic energy
923,-3249.718721400504364,502.631449295590983,-3309.686161172584434,59.967439772076176
923,-3248.524431097614070,502.163482416265310,-3308.436039155039452,59.911608057426101
923,-3247.330150159695677,510.801596428454673,-3308.272345504282384,60.942195344584960
923,-3246.135880575802730,518.591792330469389,-3308.007500659366997,61.871620083569113
923,-3244.941621620138449,529.980717366854492,-3308.172019943996020,63.230398323858687
923,-3243.747329840665316,531.401596580962860,-3307.147248971110912,63.399919130435535
923,-3242.553064839199124,540.019344686182080,-3306.981141461959851,64.428076622758894
923,-3241.358783315268738,546.892908076705226,-3306.606924021207760,65.248140705932400
923,-3240.164514931395388,543.673115055918629,-3305.028511858973161,64.863996927577276
923,-3238.970234337767124,549.351695513897766,-3304.511725544863566,65.541491207097522
923,-3237.775949046982078,558.217129563122512,-3304.375148408129007,66.599199361143917
923,-3236.581681573108199,559.477439613100387,-3303.331244718932339,66.749563145825846
923,-3235.387383673992190,554.351757556033590,-3301.525417178203952,66.138033504219237
923,-3234.193119353694328,562.914015037096306,-3301.352689931502027,67.159570577810953
923,-3232.998849581592367,575.694544403773534,-3301.683226508322150,68.684376926728433
923,-3231.804553495745495,570.215192169391457,-3299.835205460444286,68.030651964699558
923,-3230.610285025550183,572.672747501267963,-3298.934140492651750,68.323855467101524
923,-3229.416004839182278,580.093319243066048,-3298.625186303340797,69.209181464160139
923,-3228.221735765787798,589.899667923257084,-3298.600883066115330,70.379147300335845
923,-3227.027461412408229,587.381155945393061,-3297.106132657062517,70.078671244650394
923,-3225.833162018967869,588.348625672250478,-3296.027259154015610,70.194097135047826
923,-3224.638904138645103,591.786523452825463,-3295.243166472049325,70.604262333401493
923,-3223.444621555961476,599.755102344489501,-3294.999590963950595,71.554969407987969
923,-3222.250336649243309,606.193132283490968,-3294.573407960040186,72.323071310801453
923,-3221.056066211249799,606.292278990831051,-3293.390966416182437,72.334900204933177
923,-3219.861805115059724,615.498103699263652,-3293.295024455264866,73.433219340213952
923,-3218.667524117177891,617.498298299021712,-3292.339380632523898,73.671856515347898
923,-3217.473230974692342,614.015758479145916,-3290.729596184837192,73.256365210148147
923,-3216.278973814905385,630.733893257419140,-3291.529929180177987,75.250955365265966
923,-3215.084696227884251,633.764691894375687,-3290.697247022514603,75.612550794636306
923,-3213.890391607585570,625.260149013737532,-3288.488291083252989,74.597899475665940
923,-3212.696110954080268,626.509797004171332,-3287.443102156313671,74.746991202233431
923,-3211.501852426727055,631.004407566363625,-3286.785082036982658,75.283229610245897
923,-3210.307566470418351,633.670727309526114,-3285.908906634300820,75.601340163883648
923,-3209.113293006171716,634.785814195114085,-3284.847670817702692,75.734377811539318
923,-3207.919009444671246,647.787371757045321,-3285.204563811380012,77.285554366709206
923,-3206.724742324521230,655.560500173888499,-3284.937685160111869,78.212942835598113
923,-3205.530467402515114,650.703916146684264,-3283.163985869506178,77.633518466992371
923,-3204.336177486129600,664.044317642591068,-3283.561298954407448,79.225121468281500
923,-3203.141920989190567,674.094435381439098,-3283.566091643608615,80.424170654422213
923,-3201.947632076261016,674.276191337142336,-3282.393487484675006,80.445855408414616
923,-3200.753378109217010,680.549974391199271,-3281.947739620792618,81.194361511573476
923,-3199.559100957744249,687.544287238855418,-3281.587932805431592,82.028831847694676
923,-3198.364815335944058,682.700459114629325,-3279.815744683283810,81.450929347338104
923,-3197.170530141784184,681.312633433586598,-3278.455882199727512,81.285352057937118
923,-3195.976249245080908,684.816527968868286,-3277.679640374799874,81.703391129719691
923,-3194.781963039666607,691.133297539059868,-3277.238988863916347,82.457025824256647
923,-3193.587688667095790,690.246659347869581,-3275.938932367286725,82.351243700188647
923,-3192.393396495787783,684.321555103522087,-3274.037733908251084,81.644337412462050
923,-3191.199125059019480,683.770098055136827,-3272.777669796987539,81.578544737963824
923,-3190.004850195334257,702.754190655175648,-3273.848329670698604,83.843479475366166
923,-3188.810578642661767,705.893072408745638,-3273.028548617520755,84.217969974861674
923,-3187.616331672373235,718.313267052799006,-3273.316117548963120,85.699785876589800
923,-3186.422030085950610,718.656736124624331,-3272.162794219879288,85.740764133933297
923,-3185.227753279693843,726.623275725156077,-3271.918981186553083,86.691227906855488
923,-3184.033487855374005,728.236513910138115,-3270.917186336509531,86.883698481132967
923,-3182.839204964454893,727.427260693438370,-3269.626353889046186,86.787148924592429
923,-3181.644910896210149,720.249038181281094,-3267.575647778200164,85.930736881988238
923,-3180.450658386684609,734.046757914094087,-3268.027559527258745,87.576901140569817
923,-3179.256365304821429,733.612588759169853,-3266.781467035135847,87.525101730315384
