time step (dt), time (t) ,Total Energy, potential energy(E_pot) , kinetic energy (E_kin)
0.5,13,-3328.68,-3328.68,5.9136e-05
0.5,13.5,-3328.77,-3328.77,6.34495e-05
0.5,14,-3328.86,-3328.86,6.78987e-05
0.5,14.5,-3328.96,-3328.96,7.24812e-05
0.5,15,-3329.05,-3329.05,7.7195e-05
0.5,15.5,-3329.15,-3329.15,8.20378e-05
0.5,16,-3329.25,-3329.25,8.70073e-05
0.5,16.5,-3329.36,-3329.36,9.21012e-05
0.5,17,-3329.46,-3329.46,9.73171e-05
0.5,17.5,-3329.57,-3329.57,0.000102652
0.5,18,-3329.68,-3329.68,0.000108105
0.5,18.5,-3329.8,-3329.8,0.000113672
0.5,19,-3329.91,-3329.91,0.000119351
0.5,19.5,-3330.03,-3330.03,0.00012514
0.5,20,-3330.15,-3330.15,0.000131035
0.5,20.5,-3330.28,-3330.28,0.000137035
0.5,21,-3330.4,-3330.4,0.000143136
0.5,21.5,-3330.53,-3330.53,0.000149336
0.5,22,-3330.65,-3330.65,0.000155632
0.5,22.5,-3330.79,-3330.79,0.000162022
0.5,23,-3330.92,-3330.92,0.000168502
0.5,23.5,-3331.05,-3331.05,0.00017507
0.5,24,-3331.19,-3331.19,0.000181724
0.5,24.5,-3331.32,-3331.33,0.00018846
0.5,25,-3331.46,-3331.46,0.000195275
0.5,25.5,-3331.6,-3331.6,0.000202168
0.5,26,-3331.75,-3331.75,0.000209134
0.5,26.5,-3331.89,-3331.89,0.000216171
0.5,27,-3332.04,-3332.04,0.000223277
0.5,27.5,-3332.18,-3332.18,0.000230449
0.5,28,-3332.33,-3332.33,0.000237683
0.5,28.5,-3332.48,-3332.48,0.000244977
0.5,29,-3332.63,-3332.63,0.000252328
0.5,29.5,-3332.78,-3332.78,0.000259734
0.5,30,-3332.93,-3332.93,0.000267191
0.5,30.5,-3333.09,-3333.09,0.000274697
0.5,31,-3333.24,-3333.24,0.000282249
0.5,31.5,-3333.39,-3333.39,0.000289845
0.5,32,-3333.55,-3333.55,0.000297481
0.5,32.5,-3333.71,-3333.71,0.000305155
0.5,33,-3333.86,-3333.86,0.000312864
0.5,33.5,-3334.02,-3334.02,0.000320606
0.5,34,-3334.18,-3334.18,0.000328377
0.5,34.5,-3334.34,-3334.34,0.000336177
0.5,35,-3334.5,-3334.5,0.000344
0.5,35.5,-3334.66,-3334.66,0.000351846
0.5,36,-3334.82,-3334.82,0.000359712
0.5,36.5,-3334.98,-3334.98,0.000367594
0.5,37,-3335.14,-3335.14,0.000375492
0.5,37.5,-3335.3,-3335.3,0.000383401
0.5,38,-3335.47,-3335.47,0.00039132
0.5,38.5,-3335.63,-3335.63,0.000399247
0.5,39,-3335.79,-3335.79,0.000407179
0.5,39.5,-3335.95,-3335.95,0.000415113
0.5,40,-3336.11,-3336.11,0.000423048
0.5,40.5,-3336.28,-3336.28,0.000430981
0.5,41,-3336.44,-3336.44,0.00043891
0.5,41.5,-3336.6,-3336.6,0.000446832
0.5,42,-3336.76,-3336.76,0.000454747
0.5,42.5,-3336.92,-3336.92,0.000462651
0.5,43,-3337.08,-3337.08,0.000470542
0.5,43.5,-3337.24,-3337.24,0.000478419
0.5,44,-3337.4,-3337.4,0.00048628
0.5,44.5,-3337.56,-3337.56,0.000494122
0.5,45,-3337.72,-3337.72,0.000501944
0.5,45.5,-3337.88,-3337.88,0.000509744
0.5,46,-3338.04,-3338.04,0.000517519
0.5,46.5,-3338.2,-3338.2,0.000525269
0.5,47,-3338.36,-3338.36,0.000532992
0.5,47.5,-3338.51,-3338.52,0.000540685
0.5,48,-3338.67,-3338.67,0.000548348
0.5,48.5,-3338.83,-3338.83,0.000555978
0.5,49,-3338.98,-3338.98,0.000563574
0.5,49.5,-3339.14,-3339.14,0.000571135
0.5,50,-3339.29,-3339.29,0.000578659
0.5,50.5,-3339.44,-3339.44,0.000586144
0.5,51,-3339.59,-3339.6,0.00059359
0.5,51.5,-3339.75,-3339.75,0.000600994
0.5,52,-3339.9,-3339.9,0.000608356
0.5,52.5,-3340.05,-3340.05,0.000615675
0.5,53,-3340.19,-3340.19,0.000622948
0.5,53.5,-3340.34,-3340.34,0.000630176
0.5,54,-3340.49,-3340.49,0.000637356
