Temperature,force_zz,volume_z,Potential_energy,Time,v_z_0,strainRateHz,volume_x,volume_y
0.003790191812726,0.875975741512539,373.356148131879536,-191312.144351096387254,2972000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003787803303223,0.875430111161178,373.471274912062029,-191312.144452302425634,2976000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003785418824400,0.874885174579902,373.586401692244578,-191312.144552718906198,2980000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003783038305192,0.874340924813322,373.701528472427071,-191312.144652373826830,2984000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003780661674097,0.873797354686980,373.816655252609564,-191312.144751294108573,2988000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003778288864303,0.873254457443112,373.931782032792114,-191312.144849501084536,2992000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003775919810317,0.872712226423231,374.046908812974607,-191312.144947018503444,2996000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003773554449847,0.872170655254591,374.162035593157100,-191312.145043871365488,3000000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003771192722532,0.871629737678437,374.277162373339593,-191312.145140078268014,3004000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003768834571003,0.871089467754167,374.392289153522142,-191312.145235663512722,3008000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003766479939564,0.870549839607598,374.507415933704635,-191312.145330644096248,3012000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003764128774252,0.870010847563793,374.622542713887128,-191312.145425045018783,3016000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003761781024072,0.869472486195647,374.737669494069678,-191312.145518881559838,3020000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003759436640214,0.868934750285328,374.852796274252171,-191312.145612164866179,3024000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003757095574309,0.868397634615220,374.967923054434664,-191312.145704923605081,3028000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003754757778536,0.867861133938824,375.083049834617213,-191312.145797169738216,3032000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003752423211063,0.867325243761177,375.198176614799706,-191312.145888921600999,3036000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003750091827787,0.866789959206346,375.313303394982199,-191312.145980191067792,3040000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003747763587996,0.866255275750442,375.428430175164749,-191312.146070994058391,3044000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003745438452522,0.865721189063129,375.543556955347242,-191312.146161343785934,3048000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003743116382704,0.865187694783778,375.658683735529735,-191312.146251254889648,3052000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003740797341371,0.864654788755361,375.773810515712228,-191312.146340741863241,3056000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003738481293314,0.864122466940759,375.888937295894721,-191312.146429814980365,3060000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003736168204719,0.863590725523359,376.004064076077270,-191312.146518488792935,3064000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003733858041877,0.863059560623422,376.119190856259763,-191312.146606772759696,3068000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003731550772179,0.862528968453961,376.234317636442256,-191312.146694678231142,3072000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003729246364962,0.861998945494870,376.349444416624806,-191312.146782218362205,3076000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003726944790204,0.861469488197586,376.464571196807299,-191312.146869403717574,3080000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003724646019602,0.860940593265336,376.579697976989792,-191312.146956243144814,3084000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003722350024995,0.860412257375517,376.694824757172341,-191312.147042747645173,3088000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003720056779873,0.859884477359111,376.809951537354834,-191312.147128924349090,3092000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003717766257998,0.859357250112939,376.925078317537327,-191312.147214783384698,3096000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003715478434341,0.858830572604993,377.040205097719877,-191312.147300333483145,3100000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003713193284487,0.858304441905790,377.155331877902370,-191312.147385581978597,3104000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003710910785608,0.857778855231659,377.270458658084863,-191312.147470541502116,3108000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003708630914288,0.857253809730201,377.385585438267412,-191312.147555214236490,3112000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003706353647752,0.856729302625473,377.500712218449905,-191312.147639608738245,3116000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003704078965022,0.856205331307313,377.615838998632398,-191312.147723735775799,3120000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003701806846430,0.855681893343033,377.730965778814891,-191312.147807602363173,3124000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003699537271600,0.855158986194450,377.846092558997441,-191312.147891206055647,3128000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003697270220973,0.854636607422960,377.961219339179934,-191312.147974562598392,3132000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003695005676441,0.854114754712950,378.076346119362427,-191312.148057674785377,3136000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003692743618621,0.853593425643038,378.191472899544976,-191312.148140553326812,3140000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003690484030927,0.853072618067585,378.306599679727469,-191312.148223200638313,3144000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003688226896006,0.852552329822809,378.421726459909962,-191312.148305621172767,3148000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003685972197287,0.852032558701457,378.536853240092455,-191312.148387820372591,3152000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003683719918917,0.851513302712192,378.651980020275005,-191312.148469804727938,3156000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003681470045468,0.850994559810291,378.767106800457498,-191312.148551580321509,3160000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003679222562101,0.850476328057805,378.882233580639991,-191312.148633149859961,3164000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003676977454214,0.849958605546661,378.997360360822540,-191312.148714516923064,3168000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003674734707616,0.849441390409712,379.112487141005033,-191312.148795688350219,3172000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003672494308136,0.848924680742621,379.227613921187526,-191312.148876673076302,3176000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003670256241561,0.848408474635226,379.342740701370076,-191312.148957469733432,3180000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003668020496533,0.847892770578937,379.457867481552569,-191312.149038082337938,3184000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003665787060628,0.847377566889827,379.572994261735062,-191312.149118518253090,3188000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003663555920184,0.846862861728785,379.688121041917611,-191312.149198779079597,3192000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003661327064367,0.846348653554342,379.803247822100104,-191312.149278866301756,3196000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003659100481270,0.845834940820791,379.918374602282597,-191312.149358787864912,3200000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003656876159760,0.845321721904651,380.033501382465090,-191312.149438542837743,3204000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003654654089702,0.844808995424569,380.148628162647583,-191312.149518134479877,3208000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003652434260222,0.844296759867681,380.263754942830133,-191312.149597570503829,3212000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003650216659222,0.843785013540680,380.378881723012626,-191312.149676854111021,3216000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003648001277905,0.843273755182421,380.494008503195118,-191312.149755985941738,3220000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003645788106989,0.842762983468211,380.609135283377668,-191312.149834968993673,3224000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003643577136925,0.842252697058644,380.724262063560161,-191312.149913804838434,3228000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003641368358280,0.841742894543542,380.839388843742654,-191312.149992496182676,3232000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003639161761442,0.841233574595803,380.954515623925204,-191312.150071049109101,3236000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003636957338057,0.840724735949741,381.069642404107697,-191312.150149462686386,3240000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003634755080036,0.840216377429335,381.184769184290190,-191312.150227739359252,3244000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003632554978523,0.839708497754007,381.299895964472739,-191312.150305883842520,3248000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003630357025419,0.839201095702147,381.415022744655232,-191312.150383899454027,3252000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003628161213838,0.838694170228450,381.530149524837725,-191312.150461783865467,3256000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003625967533537,0.838187719846699,381.645276305020275,-191312.150539542635670,3260000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003623775978457,0.837681743619474,381.760403085202768,-191312.150617175531806,3264000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003621586541779,0.837176240496566,381.875529865385261,-191312.150694685638882,3268000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
0.003619399215715,0.836671209304293,381.990656645567810,-191312.150772076129215,3272000.000000000000000,287.816950456274697,100000000.000000000000000,358.352917493511654,347.108242104102715
