Temperature,force_zz,volume_z,Potential_energy,Time,v_z_0,strainRateHz,volume_x,volume_y
296.033747089981716,0.021109128496778,144.038477085710099,-25188.819212234469887,0.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
297.372081887457227,5.927889733357755,144.096092476544385,-25204.107283303637814,4000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
308.303662211654682,6.516761536391966,144.153707867378671,-25213.849781719291059,8000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
306.070714505295939,6.869574264732261,144.211323258212957,-25210.109366251632309,12000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
294.962136352066636,6.700991343825832,144.268938649047243,-25199.250895900626347,16000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
292.218599434955195,6.632498339958292,144.326554039881529,-25196.831253583710350,20000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
299.938723720285907,6.759441209462514,144.384169430715815,-25205.167641490748792,24000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
299.725541303272792,7.053227108638770,144.441784821550101,-25203.783410504987842,28000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
301.490198735999229,7.164025132108797,144.499400212384359,-25203.976397975224245,32000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
303.811872669012928,7.278255393226011,144.557015603218645,-25205.110829095414374,36000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
299.448833978841094,7.326276187260656,144.614630994052931,-25201.736936986486398,40000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
297.489485895526400,7.438541322568298,144.672246384887217,-25199.420227484581119,44000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
303.030303647068422,7.664162232251943,144.729861775721503,-25203.900279068460804,48000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
302.817899428238377,7.831421859896474,144.787477166555789,-25202.906955020422174,52000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
299.983566332472833,7.856499505088841,144.845092557390075,-25199.382428772165440,56000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
297.092218572041133,7.875529829944186,144.902707948224361,-25196.335424139586394,60000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
302.067432306386195,8.039394011783722,144.960323339058647,-25200.558130813857133,64000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
299.695366969969200,8.128733461550873,145.017938729892933,-25198.371152098712628,68000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
296.196430168804454,8.390291033223924,145.075554120727219,-25193.245796255076129,72000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
302.840457273813058,8.407805084395914,145.133169511561505,-25199.286391647023265,76000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
298.807856438438364,8.449320001801556,145.190784902395791,-25195.250344655876688,80000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
301.351926440968157,8.581553310888765,145.248400293230077,-25196.621048969569529,84000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
298.286453091304963,8.607093356791307,145.306015684064334,-25193.525491181684629,88000.000000000000000,144.038477085710099,100000000.000000000000000,324.358794693063942,319.661359569493868
